ln_mbh_grid,initial_condition,initial_condition_recovered,outputs_n_final,target_data,metrics,metrics_init
6.0,6.8324116515388145e-12,7.007306212194469e-12,7.007306212194469e-12,6.5160349947238496e-12,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
6.375,1.487491928694389e-10,1.3639270573236983e-10,8.949133515887942e-12,8.616021339109488e-12,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
6.75,3.200925156491303e-09,2.419912864400515e-09,1.142906963960237e-11,1.1942150393167582e-11,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
7.125,5.714251465532913e-08,3.63669577002185e-08,1.4596232427974973e-11,1.4596343716771865e-11,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
7.5,7.88612971897533e-07,4.4485369233041814e-07,1.864106246699623e-11,1.9089881057516306e-11,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
7.875,8.2223677471903e-06,4.3478258731330785e-06,2.3806774299955418e-11,2.528314804457614e-11,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
8.25,6.429081482541112e-05,3.3670609546593844e-05,3.040470314142116e-11,3.0217338289002135e-11,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
8.625,0.0003761401920250293,0.00020583088413305821,4.002392677908471e-11,3.994303998593766e-11,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
9.0,0.0016466160378336486,0.0009915152474449568,5.41175559428828e-10,4.2541724638342447e-10,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
9.375,0.005404082538457913,0.0037609694835687214,6.505756500578301e-08,6.497317031113432e-08,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
9.75,0.01336991237233609,0.01123179441212668,3.3578336535437645e-06,4.045531997531738e-06,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
10.125,0.025277635307472405,0.02641838244764542,7.868463155570519e-05,9.839980057705088e-05,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
10.5,0.037702875498244026,0.048993417855423264,0.0009370099389884093,0.0010975087326869897,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
10.875,0.04731580337809926,0.07181066647523975,0.0061878856570898085,0.006662539457035305,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
11.25,0.054734227674983364,0.08362662717908632,0.024263484874355805,0.022953966919149436,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
11.625,0.06157944627312875,0.07828389900614399,0.05968826693549268,0.051410875727146046,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
12.0,0.0648776984138231,0.06044763488215016,0.09654352482827849,0.0811554989946606,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
12.375,0.05947652542726425,0.04066174818486074,0.10737812538326369,0.09456989083619352,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
12.75,0.04551312589371589,0.032563878539900754,0.0882515038432958,0.08825959815024859,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
13.125,0.029150589463913086,0.032777807392998154,0.06262451960476763,0.07060786561364665,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
13.5,0.016299638863416236,0.01226182140469853,0.03817446501627432,0.037755250833925225,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
13.875,0.008537906215446872,0.007420447847233851,0.019444276431320313,0.019455541712679162,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
14.25,0.004446263950292976,0.0044115362236194205,0.009151585181146721,0.009285296177566458,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
14.625,0.0023052449258951853,0.0023214821147533827,0.004259693614830325,0.004259227054107449,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
15.0,0.0011385728053289552,0.0010688335358776935,0.0018708673163095949,0.0018454308468656535,"NRMSE=23.64%
sMAPE=7.12%
MAPE*=5.19%","NRMSE=51.35%
sMAPE=28.06%
MAPE*=24.20%"
