noise_level,seed,nrmse_initial,smape_initial,mape_initial,nrmse_final,smape_final,mape_final
0.01,0,227.48317903735477,168.27133482218446,35663.90202559916,26.237044476166094,15.78135072285885,9.486330120394726
0.01,1,17.899293658341005,13.733864895531289,14.430308160253855,8.968403087180063,2.32173613818658,1.9166916601435273
0.01,2,29.9626557764006,49.23809748088089,597.7860261624281,8.307029039407382,6.192777546463294,3.857954398760511
0.01,3,36.33727463227786,49.94826636995615,35.163026646121665,15.480526668800254,7.992634015994877,5.304931241659009
0.01,4,91.15067045223167,98.752773139264,57758.30375640904,7.673372805101035,12.488965025083969,8.160311577785162
0.01,5,107.04534244053205,89.0245409269975,502430.0841874222,49.558829837042424,12.155372420741328,12.367127864889065
0.01,6,45.550542802317636,65.23276153478601,39.65757263768536,7.043514749942993,3.9682619821753002,3.0326022249928704
0.01,7,32.515346949888716,62.02876924632502,41.02491706583007,12.51696441508861,5.366719114757249,3.2661882048207724
0.01,8,47.99364566615453,89.95706317473685,50.575479694282286,29.877358904981154,11.044730935314988,6.292703458046865
0.01,9,37.535441133828236,21.567579344188843,18.36142361565406,15.531227074216632,8.098889901376422,6.090135217855132
0.03,0,22.509744875587177,24.92474503030902,21.955214306271024,11.220386888630147,6.363263739685198,3.5216456987871263
0.03,1,54.4791619070635,97.70530917794616,58.214450852710634,25.829178492127845,11.601852075558597,8.053523584623317
0.03,2,112.27311993235567,61.95648955052294,50.44886211552592,60.79270830101432,18.69517438990544,13.673324203915755
0.03,3,42.7399605812662,65.79168071379652,44.82539452755136,15.732695639423621,7.162762515031354,4.220154016753891
0.03,4,42.653323719351235,96.93769867810533,82.84257531982954,31.211783940902283,17.996467971024774,26.950097894105348
0.03,5,30.42734656237992,79.59655209695771,42.82939857358119,6.768915787070612,4.000449479624094,2.5431793120356723
0.03,6,28.84103011776092,74.82112428996142,41.501649671756965,5.609536914060416,6.678638286695207,3.9256088329154073
0.03,7,60.07792452114351,76.62086347742914,447425.7711530573,14.511171533209447,6.718122897918743,5.247272751470906
0.03,8,101.9760436304778,93.56019236135728,282.36646973188465,9.030812277153819,7.346733397954373,3.2969320403960216
0.03,9,32.64115459943909,50.058277365676204,35.298898461066386,19.067161546661566,19.0397135020807,12.457410177048713
0.05,0,47.8760170275185,93.32917781507363,56.05353451808885,10.747547235416889,7.232372490180511,5.970113862613394
0.05,1,11.190368247819684,39.77306009888617,24.67409543732759,8.326869985433339,3.911247941787898,2.8274502197636364
0.05,2,45.56485889263545,85.97292487238775,54.40612766864651,20.41770413857494,10.65653849273775,11.430271611226301
0.05,3,96.83441517620844,68.99023773700972,84.84667746439162,32.945962148662254,6.980215056565027,4.769090960427851
0.05,4,68.27616569865667,102.4042641977866,64.33870217885269,19.217355187098047,13.4392856899801,6.259839672548955
0.05,5,66.05761166379142,87.44808983244542,58.737448038578435,6.044454933930728,9.0703425187486,2.2750330760121718
0.05,6,54.438621978442434,91.93663233339349,53.50975103221437,14.478862340042228,8.283952205740347,4.618557260349903
0.05,7,47.327682558918774,19.84335863997087,18.508195500367492,15.40985915606605,4.002459419336992,3.0810355367496407
0.05,8,74.11212906991757,87.73958847930797,52.825272673320676,11.310057721718433,12.755775203356018,5.70085749169083
0.05,9,54.749025286221965,82.0691619932559,51.10506956294817,7.861572834921078,5.736167284422784,2.1511250977601506
0.1,0,39.62421390349637,67.57438817852719,45.142216369198984,33.16611933313454,15.9446611536779,9.402199292256613
0.1,1,141.5612924337627,131.25481839621983,49610.03240496478,16.837456326870264,11.71011765355722,8.732926894929347
0.1,2,84.7260354820573,115.34726192343045,73.00955146404232,15.65023725963845,16.272955336539216,9.909181779240436
0.1,3,124.02498472721885,89.59767448001676,100.4885892860785,52.2484377187311,15.533566774101013,10.530752239764908
0.1,4,63.656711287528026,96.48315856778153,58.55823087026327,13.456961954480215,9.777983552273094,3.75098514231603
0.1,5,72.44485229560348,87.07909491236057,63.59379283512754,12.731282990907482,14.990314408638817,7.113819173203871
0.1,6,49.432976613454514,58.81652512110722,41.371321833774864,14.97359396636862,6.907160611193946,4.763908992081846
0.1,7,48.81399809206414,56.1445801600422,40.345208494742764,33.25140428718176,14.631862872525737,10.886119299436325
0.1,8,59.547504825861154,81.59416108182087,45045.09065540192,20.52553744811635,12.530825072201937,9.381954997067455
0.1,9,100.06596097456378,46.747007234142096,53.51922028828452,49.238239169101774,12.149852823456618,9.751499690432194
