ln_mbh_grid,initial_condition,initial_condition_recovered,outputs_n_final,target_data,metrics,metrics_init
6.0,6.8324116515388145e-12,9.737772461755298e-12,9.737772461755298e-12,6.8501580154693405e-12,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
6.375,1.487491928694389e-10,2.861779070081841e-10,1.2536201165669459e-11,8.89119326232747e-12,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
6.75,3.200925156491303e-09,6.425624860352616e-09,1.613883876249499e-11,1.1608526952989866e-11,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
7.125,5.714251465532913e-08,1.1022944328747878e-07,2.077679778425139e-11,1.5107925866629232e-11,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
7.5,7.88612971897533e-07,1.4447190454608374e-06,2.674760758939142e-11,1.958901476725472e-11,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
7.875,8.2223677471903e-06,1.4466859417033878e-05,3.443430115176964e-11,2.547321417159799e-11,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
8.25,6.429081482541112e-05,0.00011068136603443721,4.433013485259351e-11,3.310492646346736e-11,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
8.625,0.0003761401920250293,0.0006469879902433553,5.75863274222363e-11,4.3179951459055814e-11,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
9.0,0.0016466160378336486,0.002889836973699717,4.3175826914841323e-10,4.287209120182472e-10,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
9.375,0.005404082538457913,0.009865104542211211,6.750438190057177e-08,6.81727779948004e-08,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
9.75,0.01336991237233609,0.025754447436102106,4.372397762358576e-06,4.0588327203801985e-06,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
10.125,0.025277635307472405,0.051509995284692446,0.00011708855133745448,9.997859665500486e-05,"NRMSE=82.41%
sMAPE=32.43%
MAPE*=22.26%","NRMSE=87.92%
sMAPE=58.78%
MAPE*=58.46%"
