ln_mbh_grid,initial_condition,initial_condition_recovered,outputs_n_final,target_data,metrics,metrics_init
6.0,6.8324116515388145e-12,7.292073290609205e-12,7.292073290609205e-12,6.853509954262505e-12,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
6.375,1.487491928694389e-10,2.706527101321861e-10,9.156737884424782e-12,9.00899857129514e-12,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
6.75,3.200925156491303e-09,7.373720456827392e-09,1.1498218043424964e-11,1.1228215576311283e-11,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
7.125,5.714251465532913e-08,1.47459886703601e-07,1.4438440833719319e-11,1.4438439778323832e-11,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
7.5,7.88612971897533e-07,2.164582145940775e-06,1.8130511434163778e-11,1.8847810434917004e-11,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
7.875,8.2223677471903e-06,2.332315152176705e-05,2.2766685799437006e-11,2.583486613218782e-11,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
8.25,6.429081482541112e-05,0.00018446480080444472,2.8589029163112495e-11,3.240278121551831e-11,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
8.625,0.0003761401920250293,0.001070911000841986,3.7008737231442355e-11,4.407300959250009e-11,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
9.0,0.0016466160378336486,0.0045636146563673525,5.279561369876297e-10,4.249563506822033e-10,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
9.375,0.005404082538457913,0.014275467480024725,6.745684337136129e-08,6.745901937837936e-08,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
9.75,0.01336991237233609,0.0327829774299877,3.6282453634431932e-06,4.019152619480357e-06,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
10.125,0.025277635307472405,0.055302761250829044,8.687572912697316e-05,9.870959044341826e-05,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
10.5,0.037702875498244026,0.06874620352783237,0.0010330237065243855,0.0011057579487730917,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
10.875,0.04731580337809926,0.06397193377699864,0.006644017426986953,0.00664252046853203,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
11.25,0.054734227674983364,0.047854142254897085,0.024744279775541632,0.023257104931842847,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
11.625,0.06157944627312875,0.0360815166830265,0.05661958321589079,0.04855219240538501,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
12.0,0.0648776984138231,0.03520746593902394,0.0847526940161734,0.07932572986208232,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
12.375,0.05947652542726425,0.03784061802256498,0.09044966673174114,0.09045323058804844,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
12.75,0.04551312589371589,0.034672020114345156,0.07770237039953781,0.08827294493759238,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
13.125,0.029150589463913086,0.025085283866749075,0.059713114543997685,0.06575885355759574,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
13.5,0.016299638863416236,0.014489361972006695,0.04110790262582932,0.0411131242754244,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
13.875,0.008537906215446872,0.006865619856966766,0.023689730237101393,0.020241005939848986,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
14.25,0.004446263950292976,0.0027022381322257833,0.010908392117886107,0.0089142265476356,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
14.625,0.0023052449258951853,0.0008756563137970343,0.003969442803084414,0.003969935396387642,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
15.0,0.0011385728053289552,0.0002292594469650429,0.0011437510872191483,0.001805972892242211,"NRMSE=16.86%
sMAPE=9.52%
MAPE*=6.27%","NRMSE=72.28%
sMAPE=62.41%
MAPE*=81.57%"
